model,horizon,seed,normalized_mse,normalized_mae,mse_kw2,mae_kw,rmse_kw,picp_80,mpiw_80_kw,val_loss_scaled,best_epoch,epochs_ran,fit_windows,val_windows,test_windows,scaler_fit_end,validation_target_start,target_mean_kw,target_std_kw,mc_samples,features,future_features,target_mode,baseline_mode,use_future_decoder,calibrated,quantiles
lstm,90,42,0.3262690901756286,0.4378845691680908,134797.79663085938,281.4576530456543,367.1481943723261,,,0.2431535422801971,11,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
lstm,90,43,0.3233188092708587,0.4370832741260528,133578.89099121094,280.94261169433594,365.4844606699592,,,0.2585006952285766,11,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
lstm,90,44,0.3144534230232239,0.428826093673706,129916.15905761719,275.6351852416992,360.4388423264301,,,0.2451940029859542,12,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
lstm,90,45,0.322605550289154,0.4359656870365143,133284.21020507812,280.2242660522461,365.0811008599022,,,0.266089379787445,11,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
lstm,90,46,0.3298068940639496,0.4415152370929718,136259.4451904297,283.79133224487305,369.1333704644294,,,0.2616818249225616,10,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
transformer,90,42,0.3058189749717712,0.4191522896289825,126348.84338378906,269.41718101501465,355.45582479935405,,,0.2493599504232406,7,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
transformer,90,43,0.3104423880577087,0.4240434467792511,128259.02252197269,272.56104469299316,358.13268842982296,,,0.2571852505207062,7,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
transformer,90,44,0.3533968031406402,0.4592887461185455,146005.59539794922,295.215539932251,382.1067853335625,,,0.2410420775413513,21,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
transformer,90,45,0.3125569522380829,0.424640953540802,129132.6416015625,272.94510841369635,359.3503048580347,,,0.2833370864391327,6,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
transformer,90,46,0.313221126794815,0.4252792000770569,129407.03887939453,273.35537910461426,359.73189861255645,,,0.2825295627117157,8,30,734,73,276,913,913,1614.4121380065717,642.766813692225,1,"[""global_active_power"", ""global_reactive_power"", ""voltage"", ""global_intensity"", ""sub_metering_1"", ""sub_metering_2"", ""sub_metering_3"", ""sub_metering_remainder"", ""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""is_weekend"", ""RR"", ""NBJRR1"", ""NBJRR5"", ""NBJRR10"", ""NBJBROU"", ""reactive_active_ratio"", ""intensity_power_ratio"", ""metering_total"", ""power_lag_1"", ""power_lag_7"", ""power_lag_30"", ""power_roll_mean_7"", ""power_roll_std_7"", ""power_roll_mean_30"", ""power_roll_std_30"", ""power_diff_1"", ""power_diff_7"", ""power_ema_7"", ""power_ema_30"", ""power_vs_roll7"", ""power_vs_roll30""]","[""dow_sin"", ""dow_cos"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos""]",level,seasonal,False,False,[]
